"sp","x","y"
"dictyophylla",-76.18333,1.666
"dictyophylla",-76.183333,1.6667
"dictyophylla",-75.906583,1.690667
"dictyophylla",-75.668333,1.726111
"dictyophylla",-58.735,1.82139
"dictyophylla",-63.783333,2.283333
"dictyophylla",-54.76,2.46
"dictyophylla",-74.75,2.516667
"dictyophylla",-51.146389,2.525833
"dictyophylla",-54.854167,2.768056
"dictyophylla",-54.05,2.86
"dictyophylla",-52.366667,2.883333
"dictyophylla",-52.53,2.95
"dictyophylla",-52.44,3.1
"dictyophylla",-53.91,3.55
"dictyophylla",-53.488889,3.566667
"dictyophylla",-53.483333,3.566667
"dictyophylla",-53.1833,3.56667
"dictyophylla",-53.266667,3.6
"dictyophylla",-53.2,3.61666
"dictyophylla",-53.0833,3.61667
"dictyophylla",-52.02,3.67
"dictyophylla",-52.9708,3.8558
"dictyophylla",-72.8667,3.8811
"dictyophylla",-73.073369,3.901155
"dictyophylla",-53.16,4.06
"dictyophylla",-73.635531,4.157558
"dictyophylla",-59.5333,4.2
"dictyophylla",-52.3667,4.3
"dictyophylla",-53.283333,4.466667
"dictyophylla",-53.28,4.47
"dictyophylla",-53.35,4.566667
"dictyophylla",-53.35,4.58
"dictyophylla",-52.266667,4.583333
"dictyophylla",-58.733333,4.583333
"dictyophylla",-53.35,4.59
"dictyophylla",-53.33,4.6
"dictyophylla",-56.5068,4.61164
"dictyophylla",-54.533333,4.8
"dictyophylla",-54.53,4.8
"dictyophylla",-53.066667,4.85
"dictyophylla",-53.07,4.85
"dictyophylla",-62.96,4.86
"dictyophylla",-55.21,4.88
"dictyophylla",-55.183333,4.933333
"dictyophylla",-61.166667,5
"dictyophylla",-59.4833,5.16667
"dictyophylla",-59.4908,5.17361
"dictyophylla",-59.925,5.33444
"dictyophylla",-59.133333,5.35
"dictyophylla",-59.1459,5.35419
"dictyophylla",-60.65397,6.07367
"dictyophylla",-58.593611,6.169444
"dictyophylla",-64.4,6.233333
"dictyophylla",-60.56,6.5185
"dictyophylla",-60.4014,6.52386
"dictyophylla",-58.7167,6.58333
"dictyophylla",-58.716667,6.583333
"dictyophylla",-58.6,6.61667
"dictyophylla",-60.4667,7.36667
"dictyophylla",-60.1167,7.63333
"dictyophylla",-61.016667,7.7
"dictyophylla",-61.390661,10.407189
"dictyophylla",-61.25,10.416667
"dictyophylla",-61.25,10.5
"dictyophylla",-61.279467,10.630925
"dictyophylla",-62.6,10.683333
"dictyophylla",-75.87647,1.60069
"dictyophylla",-75.90292,1.66708
"dictyophylla",-75.90761,1.66897
"dictyophylla",-65.7009,-17.13526
"dictyophylla",-70.77529,-8.16259
"dictyophylla",-52.01931,0.90736
"dictyophylla",-52.91508,1.94648
"dictyophylla",-51.15787,2.55294
"dictyophylla",-76.49432,0.24307
"dictyophylla",-77.68724,-2.15872
"dictyophylla",-77.96948,-2.07373
"dictyophylla",-78.19213,-1.41342
"dictyophylla",-77.89322,-1.22699
"dictyophylla",-77.81169,-0.95865
"dictyophylla",-76.0719,-0.65478
"dictyophylla",-76.46041,-0.61017
"dictyophylla",-59.34624,5.83495
"dictyophylla",-75.85861,-9.20405
"dictyophylla",-76.64528,-8.00783
"dictyophylla",-80.24439,-3.69417
"dictyophylla",-72.7466,-3.38542
"dictyophylla",-61.28346,10.63693
"dictyophylla",-61.28232,10.6373
"dictyophylla",-61.22849,10.67191
"dictyophylla",-62.12978,10.66512
"dictyophylla",-65.4875,-17.0861111
"dictyophylla",-64.984444,-16.719167
"dictyophylla",-67.06666,-15.28333
"dictyophylla",-70.4119444,-13.4738889
"dictyophylla",-70.8,-13.28333
"dictyophylla",-71.38333,-13
"dictyophylla",-74.38333,-10.75
"dictyophylla",-75.06666,-10.53333
"dictyophylla",-75.16666,-10.5
"dictyophylla",-75.2594444,-10.3475
"dictyophylla",-75.26361,-10.32333
"dictyophylla",-75.25,-10.31666
"dictyophylla",-75.16666,-10.3
"dictyophylla",-75.5808334,-10.2319445
"dictyophylla",-75.25,-10.18333
"dictyophylla",-75.15,-10.18333
"dictyophylla",-75.71805,-8.47916
"dictyophylla",-78,-5.3
"dictyophylla",-78.33805,-5.05666
"dictyophylla",-78.33972,-5.05555
"dictyophylla",-78.31666,-4.91666
"dictyophylla",-78.20638,-4.61916
"dictyophylla",-78.23361,-4.58027
"dictyophylla",-78.215,-4.55138
"dictyophylla",-78.16666,-4.55
"dictyophylla",-78.17611,-4.52638
"dictyophylla",-78.6425,-4.4808334
"dictyophylla",-78.6527778,-4.3
"dictyophylla",-78.65916,-4.25027
"dictyophylla",-78.61666,-4.11666
"dictyophylla",-70.25,-3.78333
"dictyophylla",-73.24722,-3.74805
"dictyophylla",-72.83333,-3.5
"dictyophylla",-72.91666,-3.33333
"dictyophylla",-72.0333333,-3.2666667
"dictyophylla",-78.23333,-3.11666
"dictyophylla",-78.2161111,-3.0425
"dictyophylla",-77.71638,-2.89166
"dictyophylla",-79.3341666,-2.5780556
"dictyophylla",-79.3302778,-2.5711111
"dictyophylla",-77.9,-2.53333
"dictyophylla",-77.33333,-2.41666
"dictyophylla",-77.5,-2.38333
"dictyophylla",-76.66666,-2.36666
"dictyophylla",-76.66666,-2.33333
"dictyophylla",-79.16666,-1.78333
"dictyophylla",-75.96666,-1.65
"dictyophylla",-77.68333,-1.63333
"dictyophylla",-75.96666,-1.63333
"dictyophylla",-77.83333,-1.61666
"dictyophylla",-75.66666,-1.6
"dictyophylla",-78.83333,-1.45
"dictyophylla",-76.86666,-1.41666
"dictyophylla",-77.03333,-1.41666
"dictyophylla",-77.41666,-1.38333
"dictyophylla",-76.96666,-1.36666
"dictyophylla",-76.95,-1.36666
"dictyophylla",-76.93333,-1.35
"dictyophylla",-69.6833333,-1.2166667
"dictyophylla",-77.9,-1.1
"dictyophylla",-75.78333,-1.08333
"dictyophylla",-77.61666,-1.06666
"dictyophylla",-77.6,-1.06666
"dictyophylla",-80.66667,-1.05833
"dictyophylla",-80.68333,-1.03333
"dictyophylla",-75.78333,-1.01666
"dictyophylla",-76.2,-0.98333
"dictyophylla",-76.9666667,-0.9333333
"dictyophylla",-76.2209333,-0.9020833
"dictyophylla",-77.4,-0.86666
"dictyophylla",-77.56305,-0.8275
"dictyophylla",-76.38333,-0.8
"dictyophylla",-76.5,-0.78333
"dictyophylla",-76.9,-0.73333
"dictyophylla",-77.6336111,-0.7175
"dictyophylla",-77.66666,-0.71666
"dictyophylla",-76.95,-0.71666
"dictyophylla",-76.3730556,-0.6713889
"dictyophylla",-77.66666,-0.66666
"dictyophylla",-76.4645833,-0.6425833
"dictyophylla",-76.4613333,-0.6118333
"dictyophylla",-76.4595167,-0.61125
"dictyophylla",-77.41666,-0.58333
"dictyophylla",-76.38333,-0.51666
"dictyophylla",-77.01666,-0.5
"dictyophylla",-76.0769445,-0.4947222
"dictyophylla",-76.07694,-0.49472
"dictyophylla",-75.5,-0.45
"dictyophylla",-76.61666,-0.41666
"dictyophylla",-76.5522222,-0.3786111
"dictyophylla",-77.28333,-0.36666
"dictyophylla",-77.08333,-0.33333
"dictyophylla",-76.35,-0.25
"dictyophylla",-77.43333,-0.11666
"dictyophylla",-77.43333,-0.1
"dictyophylla",-76.16666,-0.1
"dictyophylla",-76.18333,-0.01666
"dictyophylla",-76.16666,0
"dictyophylla",-76.2,0
"dictyophylla",-54.03371,3.64447511
"dictyophylla",-76.18333,0.01666
"dictyophylla",-79.95,0.03333
"dictyophylla",-52.44,0.31
"dictyophylla",-79.73333,0.35
"dictyophylla",-51.9436,0.778056
"dictyophylla",-63.78333,2.28333
"dictyophylla",-74.75,2.5166667
"dictyophylla",-53.1248,3.3436
"dictyophylla",-53.05,3.37
"dictyophylla",-54.12,3.55
"dictyophylla",-54.111,3.551
"dictyophylla",-52.42,4.03
"dictyophylla",-58.5134534,4.2609722
"dictyophylla",-53.21,4.34
"dictyophylla",-52.19,4.37
"dictyophylla",-53.03,4.53
"dictyophylla",-53.52,5
"dictyophylla",-50.9818889,-6.0685277778
"dictyophylla",-64.4,6.23333
"dictyophylla",-62.6,10.68333
"dictyophylla",-79.17,-1.78
"dictyophylla",-76.6591405,-8.0147872
"dictyophylla",-49.9021987915039,-6.06750011444092
"dictyophylla",-50.28,-6.1
"dictyophylla",-50.2833333,-6.1
"dictyophylla",-50.47,-5.98
"dictyophylla",-51.1463785,2.525951
"dictyophylla",-52.01,4.05
"dictyophylla",-52.37,4.3
"dictyophylla",-52.37,2.88
"dictyophylla",-52.5,4.95
"dictyophylla",-53.08,3.62
"dictyophylla",-53.0833,3.61667
"dictyophylla",-53.1833,3.56667
"dictyophylla",-53.2,3.62
"dictyophylla",-53.27,3.6
"dictyophylla",-53.33,4.6
"dictyophylla",-53.45,3.4
"dictyophylla",-53.929722,-0.820333
"dictyophylla",-53.92972222,-0.82033333
"dictyophylla",-53.9297223,-0.8202778
"dictyophylla",-53.9495,-0.84516667
"dictyophylla",-53.9495,-0.845167
"dictyophylla",-53.96447222,-0.83505556
"dictyophylla",-54.6,4.8
"dictyophylla",-54.85,2.76
"dictyophylla",-54.8542,2.7681
"dictyophylla",-58.6,6.61667
"dictyophylla",-58.63,1.3
"dictyophylla",-58.65,1.28333
"dictyophylla",-58.65,1.28
"dictyophylla",-58.69125,1.279833
"dictyophylla",-58.693778,1.2715
"dictyophylla",-58.7,1.36667
"dictyophylla",-58.7,1.37
"dictyophylla",-58.70769444,1.25505556
"dictyophylla",-58.735,1.82139
"dictyophylla",-58.7728,1.35917
"dictyophylla",-58.93,1.38
"dictyophylla",-58.9464,1.38639
"dictyophylla",-59,-1
"dictyophylla",-59.1459,5.35419
"dictyophylla",-59.35,-10.2
"dictyophylla",-59.48,5.17
"dictyophylla",-59.53,4.2
"dictyophylla",-59.95,5
"dictyophylla",-60.1167,7.63333
"dictyophylla",-60.12,7.63
"dictyophylla",-60.4014,6.52386
"dictyophylla",-60.4667,7.36667
"dictyophylla",-60.56,6.5185
"dictyophylla",-61.0166667,7.7
"dictyophylla",-61.17,5
"dictyophylla",-61.21,7.61
"dictyophylla",-62.53,5.68
"dictyophylla",-62.608,10.692
"dictyophylla",-62.9,-11.8
"dictyophylla",-63.1,-9.7
"dictyophylla",-65.2333,-17.3542
"dictyophylla",-65.43,-17.03
"dictyophylla",-65.434167,-16.993889
"dictyophylla",-65.4875,-17.0861
"dictyophylla",-69.33,-12.83
"dictyophylla",-69.33333,-12.83333
"dictyophylla",-69.6833333,-1.2166667
"dictyophylla",-69.9258334,-9.3688889
"dictyophylla",-70.25,-3.7833333
"dictyophylla",-70.26102778,-3.818916667
"dictyophylla",-70.77,-8.15
"dictyophylla",-70.7742,-13.2886
"dictyophylla",-71.3,-12.58
"dictyophylla",-71.4636,-8.5139
"dictyophylla",-71.6622,-7.8933
"dictyophylla",-72.0333333,-3.2666667
"dictyophylla",-72.3736,-12.8981
"dictyophylla",-72.57438889,-12.16216667
"dictyophylla",-72.6517,-11.8825
"dictyophylla",-72.6992,-11.7856
"dictyophylla",-72.77,-7.631
"dictyophylla",-72.7775,-11.932
"dictyophylla",-72.88406,-2.59506
"dictyophylla",-73.01866667,-2.88502778
"dictyophylla",-73.24722,-3.74805
"dictyophylla",-73.2625,-12.6833
"dictyophylla",-73.2703,-12.6631
"dictyophylla",-73.65,-7.48
"dictyophylla",-73.664167,-7.408611
"dictyophylla",-73.666667,-7.5
"dictyophylla",-73.6669445,-7.4475
"dictyophylla",-73.675,-7.3583
"dictyophylla",-73.691944,-7.453889
"dictyophylla",-74.38,-10.75
"dictyophylla",-74.38333,-10.75
"dictyophylla",-75.0669,-10.5042
"dictyophylla",-75.25,-10.32
"dictyophylla",-75.8333,-9.5
"dictyophylla",-75.8333333,-1
"dictyophylla",-75.902917,1.667083
"dictyophylla",-75.906056,1.631278
"dictyophylla",-75.906583,1.690667
"dictyophylla",-76.2,-0.98
"dictyophylla",-76.2,-0.9833333
"dictyophylla",-76.47,-0.0681
"dictyophylla",-76.6166667,-0.4166667
"dictyophylla",-76.839,-5.66438889
"dictyophylla",-76.9666667,-0.9333333
"dictyophylla",-77.28,-0.37
"dictyophylla",-77.4167,0.3333
"dictyophylla",-77.57630556,0.23719444
"dictyophylla",-77.6,-1.0666667
"dictyophylla",-77.6166667,-1.0666667
"dictyophylla",-77.62,-1.0658
"dictyophylla",-77.6336111,-0.7175
"dictyophylla",-77.65,-4.6
"dictyophylla",-77.7163889,-2.8916666
"dictyophylla",-77.9,-2.5333333
"dictyophylla",-77.97,-4.75
"dictyophylla",-78,-5
"dictyophylla",-78.03,-1.48
"dictyophylla",-78.1761,-4.5264
"dictyophylla",-78.2294,-4.6189
"dictyophylla",-78.3397,-5.0556
"dictyophylla",-78.3878,-2.8844
"dictyophylla",-78.5,-1.5
"dictyophylla",-79.1666667,-1.7833333
"dictyophylla",-79.73,0.35
"dictyophylla",-79.95,0.03
"dictyophylla",-80.6833333,-1.0333333
"dictyophylla",-58.6938888888889,1.27138888888889
"dictyophylla",-53.9297222222222,-0.820277777777778
"latevagans",-64.516667,-17.866667
"latevagans",-65.268889,-17.543333
"latevagans",-65.502025,-17.235439
"latevagans",-65.836667,-17.218333
"latevagans",-65.752778,-17.205278
"latevagans",-67.2,-16.95
"latevagans",-66.68,-16.63
"latevagans",-67.9215,-16.3123
"latevagans",-68.43333,-15.65
"latevagans",-68.767778,-15.319444
"latevagans",-68.885555,-15.19
"latevagans",-69.53,-14.13
"latevagans",-75.25,-10.5
"latevagans",-78.775,-7.4
"latevagans",-64.51666,-17.86666
"latevagans",-64.25,-17.75
"latevagans",-68.7677778,-15.3194445
"latevagans",-68.88555,-15.19
"latevagans",-68.9,-15.18333
"latevagans",-68.76666,-15.18333
"latevagans",-78.7404497,-6.27249696
"nana",-68.33,-10.75
"nana",-75.574167,-10.183333
"nana",-60.83,2.45
"nana",-64.36853,-11.21036
"nana",-63.85494,-8.68485
"nana",-64.13333,-17.4
"nana",-68.88555,-15.19
"nana",-77.47027,-5.73583
"nana",-78.33805,-5.05666
"nana",-78.35,0.08
"nana",-56.4508333,3.0008333
"nana",-73.2056,4.455
"nana",-74.57,5.57
"nana",-74.52,6.14
"nana",-83.38333,8.51666
"nana",-83.59,8.7
"nana",-83.54,9.78
"nana",-96.96,16.16
"nana",-92.5,16.5
"nana",-52.0005556,-3.1627778
"nana",-54.8541667,-3.6091667
"nana",-56.741083,-4.698722
"nana",-59,-1
"nana",-59.283333,-1.783333
"nana",-60.022222,-14.931667
"nana",-48.5043983459473,-1.4558299779892
"nana",-53.26575,-0.90197222
"nana",-53.96,3.61
"nana",-54.5538889,2.9716667
"nana",-54.7383003234863,-1.94166994094849
"nana",-54.75,2.48
"nana",-55.15972222,-0.16083333
"nana",-55.317778,-10.992222
"nana",-55.459722,-10.918611
"nana",-55.625,4.1006
"nana",-55.682778,-10.979167
"nana",-55.758056,-10.986389
"nana",-55.758111,-10.986417
"nana",-55.759444,-10.986389
"nana",-56.2,4.71
"nana",-56.4508333,3.0008333
"nana",-56.4583333,3.15
"nana",-56.789722,-9.324444
"nana",-58.258722,-9.81975
"nana",-58.4136009216309,-9.95750045776367
"nana",-58.9333,4.25
"nana",-58.9719,2.91083
"nana",-58.9736,2.91111
"nana",-59.2431,1.55278
"nana",-59.35,-10.2
"nana",-59.48,3.35
"nana",-60.0250015258789,-3.10193991661072
"nana",-60.1458,-12.7406
"nana",-60.25,-14.5
"nana",-61.21,7.61
"nana",-64.1333333,-17.4
"nana",-64.435,-16.7261
"nana",-64.833333,-3.033333
"nana",-65.0666667,6.7166667
"nana",-65.4633333,-17.0791667
"nana",-65.9,-11.0833333
"nana",-65.9119,7.0758
"nana",-66.05,5.41
"nana",-67.5666667,10.3333333
"nana",-67.6855555,10.3494444
"nana",-67.75,-16.21666
"nana",-67.75,-16.2166667
"nana",-67.75,-16.22
"nana",-67.9,-14.17
"nana",-67.93333,-14.45
"nana",-68.0107999,-9.6413745
"nana",-68.32,10.27
"nana",-68.43333,-13.63333
"nana",-68.48666,-15.04277
"nana",-68.76666,-13.58333
"nana",-70.1,9.2
"nana",-71.16666,-11.75
"nana",-72.1666667,7.6
"nana",-72.8333333,9.1
"nana",-73.1,-3.4833333
"nana",-74.8666667,6.2333333
"nana",-74.95,5.95
"nana",-75.05519,7.26822
"nana",-75.1775,-10.6547
"nana",-75.1775,-10.65472
"nana",-75.21666,-10.25
"nana",-75.22,-10.25
"nana",-75.56666,-10.18333
"nana",-75.57,-10.18
"nana",-75.57416,-10.18333
"nana",-75.5758334,-10.1838889
"nana",-76.15,-0.9166667
"nana",-76.28333,-6.31666
"nana",-76.33,-6.45
"nana",-76.38,-0.67
"nana",-76.3833333,-0.8
"nana",-76.43,-0.25
"nana",-76.43333,-0.25
"nana",-76.4986111,-10.5166667
"nana",-76.5,-0.5833333
"nana",-76.5,-0.6333333
"nana",-76.52,-0.55
"nana",-76.8333,-1.75
"nana",-76.9166667,-2.3333333
"nana",-77.4166667,-1.5666667
"nana",-77.45,-1.4833333
"nana",-77.47027,-5.73583
"nana",-77.5716667,-4.4336111
"nana",-77.75,-2.2
"nana",-77.85,-1.45
"nana",-77.9,-2.5333333
"nana",-77.9136111,-1.7444444
"nana",-77.9847222,-1.4833333
"nana",-78.1869,-1.4628
"nana",-78.33805,-5.05666
"nana",-78.5833333,0.1333333
"nana",-78.62,0.13
"nana",-79.03333,0.1
"nana",-79.1166667,0.2666667
"nana",-59.35,-10.2
"nana",-68.7672222222222,-10.8236111111111
"nana",-55.4213888888889,-11.0019444444444
"nana",-68.1288888888889,-9.72138888888889
"nana",-54.9,-9.36666666666667
"percussa",-48.896667,-27.100833
"percussa",-54.95,-8.75
"percussa",-61.721111,0.476667
"percussa",-49.7725,-4.006111
"percussa",-48.5,-27.6
"percussa",-48.864167,-27.531944
"percussa",-48.511389,-27.531111
"percussa",-49.441111,-27.422778
"percussa",-48.960556,-27.360278
"percussa",-48.78,-27.36
"percussa",-48.871389,-27.184722
"percussa",-48.871111,-27.181944
"percussa",-48.601944,-27.149444
"percussa",-49.3225,-27.135
"percussa",-48.820657,-27.11724
"percussa",-48.9,-27.1
"percussa",-49.139353,-27.097017
"percussa",-49.139167,-27.096944
"percussa",-49.049444,-27.09
"percussa",-49.51842,-27.0608
"percussa",-49.078,-27.059
"percussa",-49.087778,-27.056667
"percussa",-49.548333,-27.041111
"percussa",-49.112778,-27.037778
"percussa",-49.126389,-27.026222
"percussa",-49.118611,-27.023056
"percussa",-49.118056,-27.006944
"percussa",-48.637778,-27.001389
"percussa",-48.690833,-27.000278
"percussa",-48.960278,-26.999444
"percussa",-49.411389,-26.910278
"percussa",-49.119056,-26.903167
"percussa",-49.119167,-26.903056
"percussa",-49.1025,-26.879722
"percussa",-49.126389,-26.820278
"percussa",-49.1275,-26.82
"percussa",-48.943333,-26.804167
"percussa",-49.417222,-26.785
"percussa",-48.694444,-26.73
"percussa",-49.585,-26.7275
"percussa",-48.688889,-26.5525
"percussa",-49.040833,-26.534167
"percussa",-48.69,-26.46
"percussa",-48.610556,-26.393333
"percussa",-49.235556,-26.365
"percussa",-49.235583,-26.365
"percussa",-51.452778,-26.344167
"percussa",-49.313889,-26.331111
"percussa",-49.145278,-26.318333
"percussa",-48.547222,-26.290556
"percussa",-48.55,-26.283333
"percussa",-49.370556,-26.278333
"percussa",-48.708333,-26.268333
"percussa",-48.856667,-26.2525
"percussa",-49.230833,-26.233889
"percussa",-49.228611,-26.23
"percussa",-48.530278,-26.166389
"percussa",-48.616389,-26.1175
"percussa",-48.69,-26.1
"percussa",-48.727225,-26.055025
"percussa",-48.727222,-26.055
"percussa",-48.5,-25.833333
"percussa",-48.9,-25.816667
"percussa",-49.072631,-25.794428
"percussa",-48.919194,-25.788833
